WAVELENGTH (nm),T - 0 Deg.,T - 30 Deg.,T - 45 Deg.,T - 55 Deg.
number,number,number,number,number
5100,41.406969,41.096762,43.984474,45.772402
5120,41.207106,41.300234,44.268091,46.078046
5140,41.088146,41.640836,44.699874,46.487047
5160,40.940963,41.873333,45.032086,46.816592
5180,40.877918,42.238171,45.471262,47.232682
5200,40.848262,42.483999,45.813622,47.566413
5220,40.782404,42.870188,46.26641,48.017721
5240,40.676377,43.161406,46.642004,48.372139
5260,40.667364,43.551591,47.092087,48.808413
5280,40.673817,43.888927,47.495739,49.199977
5300,40.743487,44.266674,47.962803,49.64412
5320,40.75259,44.647608,48.41009,50.075108
5340,40.688095,45.018814,48.842785,50.496258
5360,40.80403283,45.47536219,49.36344262,51.00028577
5380,40.97856,45.855897,49.803449,51.420629
5400,41.110844,46.358132,50.355104,51.951584
5420,41.216055,46.725874,50.803246,52.383805
5440,41.311271,47.280841,51.403566,52.956923
5460,41.706115,47.675692,51.857906,53.401088
5480,41.897285,48.216998,52.452844,53.989778
5500,41.905927,48.711786,52.989208,54.50116
5520,42.136292,49.191864,53.524871,54.999739
5540,42.317731,49.767598,54.148057,55.598698
5560,42.482617,50.190666,54.629063,56.072783
5580,42.684287,50.815167,55.28591,56.724719
5600,43.065745,51.341433,55.846063,57.254265
5620,43.351628,51.859967,56.402928,57.777056
5640,43.551496,52.442432,57.025021,58.391392
5660,43.932779,52.971539,57.584884,58.951844
5680,44.346393,53.635693,58.261933,59.593983
5700,44.493755,54.103559,58.765962,60.078999
5720,44.979612,54.784071,59.482582,60.763632
5740,45.518575,55.321885,60.041027,61.291929
5760,45.903939,55.839753,60.591674,61.831971
5780,46.087093,56.614827,61.370417,62.597998
5800,46.459913,57.064372,61.807227,62.998437
5820,47.200989,57.682398,62.454194,63.614303
5840,47.568887,58.410485,63.208106,64.354493
5860,47.4918229,58.88793952,63.64920532,64.76201693
5880,47.899757,59.507508,64.323679,65.423146
5900,48.516725,60.274588,65.089434,66.173225
5920,48.727303,60.779215,65.535984,66.599993
5940,49.298886,61.449491,66.233692,67.279408
5960,49.94745,62.092898,66.838572,67.842204
5980,50.381766,62.624709,67.328975,68.297598
6000,50.937101,63.342751,68.03011,68.966801
6020,51.255492,63.906834,68.533358,69.433385
6040,51.371532,64.354248,68.973432,69.856783
6060,51.814046,65.114558,69.728249,70.582631
6080,52.359916,65.69596,70.238289,71.048409
6100,53.047145,66.207425,70.699756,71.470247
6120,53.812312,66.925533,71.362266,72.083896
6140,54.066219,67.481533,71.869082,72.55228
6160,54.607562,68.069548,72.413476,73.054641
6180,55.350234,68.786312,73.071272,73.669876
6200,55.816915,69.417387,73.646749,74.209671
6220,56.333009,70.070899,74.252347,74.763516
6240,56.871189,70.707765,74.826015,75.286435
6260,57.366674,71.291899,75.34236,75.762727
6280,57.974245,71.95698,75.95321,76.32486
6300,58.576557,72.597617,76.52232,76.835364
6320,59.082276,73.100743,76.957944,77.218681
6340,59.797002,73.647423,77.474892,77.691305
6360,60.648173,74.328389,78.065602,78.212267
6380,61.063578,74.790031,78.41808,78.500178
6400,61.581301,75.132724,78.729125,78.7656
6420,62.45272,75.827416,79.347203,79.309033
6440,62.603117,76.417513,79.800156,79.694963
6460,62.946455,76.751138,80.053342,79.883385
6480,63.855311,77.235537,80.46915,80.213497
6500,64.441022,77.817067,80.984639,80.679373
6520,64.806162,78.326264,81.381133,81.009702
6540,65.484816,78.81418,81.726109,81.254205
6560,66.468426,79.269538,82.106252,81.572132
6580,67.396842,79.792347,82.566543,81.973952
6600,67.606728,80.327224,82.98067,82.291817
6620,67.668343,80.770759,83.331602,82.563974
6640,68.243538,81.240758,83.723929,82.890433
6660,69.339796,81.792967,84.126793,83.204697
6680,70.096032,82.28301,84.481248,83.479068
6700,70.316134,82.725339,84.871726,83.815199
6720,70.911968,83.305609,85.350977,84.214012
6740,71.818713,83.830665,85.720608,84.490382
6760,72.308297,84.167944,85.966728,84.662231
6780,72.748138,84.561761,86.28687,84.897564
6800,73.546935,85.119592,86.710868,85.228114
6820,74.236158,85.535427,87.004763,85.449914
6840,74.887233,85.812044,87.191568,85.55634
6860,75.718642,86.171363,87.449472,85.719017
6880,76.368517,86.631765,87.792885,85.989227
6900,76.808169,86.999345,88.030723,86.153253
6920,77.279166,87.266078,88.163388,86.197222
6940,77.85917,87.541927,88.340754,86.294
6960,78.533259,87.872626,88.584836,86.463026
6980,79.041276,88.172028,88.757418,86.555085
7000,79.374526,88.396983,88.853183,86.576749
7020,79.89262,88.632226,88.996177,86.649747
7040,80.611252,88.920179,89.196022,86.770006
7060,81.115439,89.193855,89.360776,86.856267
7080,81.448839,89.431729,89.487982,86.91623
7100,81.939389,89.690132,89.638692,87.000798
7120,82.555136,89.958134,89.807071,87.101883
7140,83.10882,90.188164,89.957807,87.19103
7160,83.625736,90.422214,90.11026,87.286178
7180,84.156453,90.700657,90.282331,87.401567
7200,84.627091,90.963498,90.43934,87.498174
7220,85.045082,91.1752,90.562619,87.554651
7240,85.518332,91.383422,90.685772,87.612886
7260,86.085167,91.621359,90.83197,87.704686
7280,86.632644,91.856022,90.978122,87.801048
7300,87.076837,92.060155,91.105646,87.872462
7320,87.511779,92.262657,91.232555,87.940423
7340,88.038832,92.48722,91.374194,88.026565
7360,88.578657,92.704446,91.503296,88.109141
7380,89.014876,92.879896,91.593407,88.164
7400,89.395452,93.031822,91.667933,88.20199
7420,89.834123,93.19592,91.762268,88.245248
7440,90.305912,93.364699,91.864443,88.290224
7460,90.699239,93.507912,91.939809,88.319988
7480,91.0422,93.633126,91.995003,88.340505
7500,91.450839,93.768352,92.059834,88.367405
7520,91.914446,93.910622,92.134002,88.397929
7540,92.305701,94.024942,92.186016,88.409437
7560,92.587157,94.101168,92.204778,88.395349
7580,92.87949,94.174632,92.217458,88.379564
7600,93.256919,94.270096,92.247912,88.381536
7620,93.625637,94.362845,92.281331,88.387957
7640,93.903788,94.427663,92.300557,88.380446
7660,94.152644,94.480959,92.311781,88.363322
7680,94.453288,94.544076,92.324877,88.345036
7700,94.782018,94.60829,92.333476,88.321881
7720,95.057277,94.647455,92.321961,88.284649
7740,95.255101,94.6537,92.288857,88.23187
7760,95.457139,94.651847,92.25277,88.178025
7780,95.731851,94.666163,92.231786,88.135674
7800,96.00783,94.683271,92.21342,88.092428
7820,96.206646,94.685845,92.181134,88.033523
7840,96.35985,94.682752,92.144891,87.973411
7860,96.539627,94.690916,92.121565,87.933941
7880,96.780824,94.717718,92.117305,87.921576
7900,97.006546,94.743515,92.110195,87.906987
7920,97.141811,94.748399,92.078078,87.861145
7940,97.250488,94.741123,92.035839,87.801381
7960,97.405908,94.733464,92.001771,87.750794
7980,97.6068,94.727258,91.976881,87.712566
8000,97.779083,94.712066,91.944885,87.668228
8020,97.865307,94.679051,91.891698,87.600955
8040,97.93082188,94.64340141,91.83424932,87.52914863
8060,98.042684,94.619741,91.791066,87.472302
8080,98.190337,94.603251,91.757658,87.427994
8100,98.31577,94.580337,91.716837,87.38028
8120,98.367108,94.53558,91.651002,87.312268
8140,98.402579,94.484484,91.57839,87.238371
8160,98.479623,94.443213,91.51919,87.174604
8180,98.5985,94.412654,91.475787,87.122282
8200,98.70375122,94.37765967,91.43278637,87.06758077
8220,98.73911641,94.32253289,91.37326473,86.99600916
8240,98.750923,94.26102,91.307431,86.92132
8260,98.785855,94.207323,91.247033,86.855788
8280,98.870657,94.171447,91.200382,86.809304
8300,98.952392,94.138443,91.158092,86.767185
8320,98.984322,94.093508,91.110013,86.716119
8340,98.982645,94.041157,91.057932,86.658293
8360,98.99048484,93.99306807,91.00907086,86.60442971
8380,99.05221451,93.96286771,90.97152623,86.56567029
8400,99.124001,93.937452,90.937519,86.532887
8420,99.166538,93.903769,90.899626,86.496039
8440,99.155323,93.85565,90.854173,86.450684
8460,99.137947,93.809215,90.811982,86.407917
8480,99.160091,93.779833,90.781481,86.377778
8500,99.216612,93.765776,90.761553,86.359247
8520,99.266406,93.750264,90.740454,86.338677
8540,99.2606192,93.7158387,90.70565886,86.30239768
8560,99.226464,93.669227,90.662241,86.256079
8580,99.200985,93.622373,90.617741,86.209588
8600,99.234338,93.591425,90.584832,86.176391
8620,99.285379,93.56698,90.556892,86.148652
8640,99.318916,93.540569,90.528938,86.118994
8660,99.289801,93.501009,90.492469,86.078197
8680,99.244711,93.460719,90.457647,86.037712
8700,99.21843678,93.4297371,90.43078119,86.005594
8720,99.24703602,93.41692259,90.41846654,85.99015443
8740,99.284371,93.407452,90.407657,85.979097
8760,99.295736,93.390401,90.389686,85.963258
8780,99.253347,93.357646,90.357487,85.934547
8800,99.204455,93.324754,90.326784,85.905241
8820,99.186891,93.304093,90.309037,85.885519
8840,99.228984,93.305705,90.313602,85.883192
8860,99.28402171,93.31459552,90.32526963,85.88704328
8880,99.31766414,93.32016389,90.3317189,85.88881284
8900,99.300378,93.312419,90.32388,85.882331
8920,99.275592,93.305737,90.316188,85.87676
8940,99.270026,93.308741,90.318179,85.878671
8960,99.313376,93.330439,90.339703,85.894254
8980,99.362984,93.355781,90.366135,85.913534
9000,99.397035,93.37777,90.390625,85.931889
9020,99.380831,93.383286,90.400161,85.939147
9040,99.35035455,93.38168788,90.40187298,85.93990892
9060,99.327425,93.379449,90.400427,85.936933
9080,99.352722,93.387051,90.404627,85.936125
9100,99.395394,93.399265,90.41096,85.9349
9120,99.428491,93.410218,90.415892,85.932012
9140,99.415725,93.412475,90.414593,85.925242
9160,99.374525,93.407262,90.408183,85.915237
9180,99.333033,93.397695,90.400398,85.904681
9200,99.32239588,93.38896168,90.39469985,85.89557766
9220,99.34803566,93.38321574,90.39164884,85.88915769
9240,99.387719,93.377878,90.387541,85.882213
9260,99.418481,93.372461,90.380873,85.874593
9280,99.421526,93.3646,90.368863,85.864285
9300,99.414961,93.36476,90.364014,85.859157
9320,99.406778,93.37686,90.372248,85.862794
9340,99.41466,93.406173,90.401394,85.880578
9360,99.42806461,93.4435119,90.43934793,85.90423818
9380,99.43976423,93.48226368,90.47897365,85.92789394
9400,99.435886,93.510628,90.505092,85.941953
9420,99.417164,93.528456,90.517392,85.945897
9440,99.40471,93.543124,90.527592,85.949263
9460,99.406186,93.559814,90.54102,85.956249
9480,99.436583,93.58646,90.569344,85.975683
9500,99.477361,93.62092,90.606188,86.002931
9520,99.515979,93.66078,90.647178,86.034702
9540,99.52707176,93.69877878,90.67922632,86.06182917
9560,99.51532,93.732481,90.701457,86.082266
9580,99.501554,93.760219,90.717553,86.095433
9600,99.495329,93.782586,90.729688,86.103283
9620,99.515687,93.801121,90.743586,86.107396
9640,99.543737,93.814637,90.754319,86.10612
9660,99.567359,93.823169,90.759329,86.098357
9680,99.570817,93.825615,90.755438,86.083398
9700,99.55098483,93.82375989,90.7430873,86.0625189
9720,99.52485762,93.82192094,90.73014742,86.0414
9740,99.502468,93.82239,90.720941,86.023156
9760,99.501414,93.829139,90.721636,86.011948
9780,99.509975,93.83724,90.726536,86.003326
9800,99.518652,93.843608,90.730958,85.994399
9820,99.514464,93.843619,90.727098,85.978961
9840,99.485862,93.832598,90.709715,85.953687
9860,99.45315832,93.81823024,90.68662071,85.92347737
9880,99.42044675,93.8021163,90.65821265,85.8888053
9900,99.405781,93.790485,90.632991,85.855903
9920,99.412258,93.784542,90.612673,85.825555
9940,99.420382,93.776864,90.592178,85.794623
9960,99.428184,93.766523,90.571777,85.763434
9980,99.416013,93.746614,90.54609,85.727766
10000,99.387359,93.718719,90.516662,85.688781
